"V1" "means" "std" "n" "se"
"1" "5htr1b" 0.0539531923076923 0.117048880879621 117 0.0108211728653116
"2" "5htr1bchag80" 0.164657909090909 0.25928931713666 55 0.0349625643903448
"3" "58e02" 0.0262341842105263 0.153079804246458 114 0.0143372372696936
"4" "58e02thg80" 0.144560017094017 0.152257377978358 117 0.0140761995735557
"5" "c061" -0.137740394495413 0.129345309074415 109 0.0123890336901528
"6" "hl8" 0.256902425688073 0.136339755164931 109 0.0130589801217587
"7" "mb025b" -0.000850982300884956 0.222698438496754 113 0.0209497068450338
"8" "mb032b" -0.0100208221153846 0.216609351661562 104 0.0212402944413267
"9" "mb056b" 0.0487863439655172 0.144895748772302 116 0.0134532325343449
"10" "mb058b" -0.0306232891566265 0.198080704967145 83 0.0217421819989549
"11" "mb060b" 0.0706103247863248 0.157071808579862 117 0.0145212938401168
"12" "mb065b" 0.122849482142857 0.169012811462901 112 0.0159702095540959
"13" "mb109b" -0.0574920173913043 0.182317863250403 115 0.0170012284109101
"14" "mb299c" 0.0449960344827586 0.175412111329939 58 0.0230327386191268
"15" "mb301b" 0.0722320519230769 0.176889883002169 104 0.0173454800997155
"16" "mb304b" 0.0167269896907217 0.199808959277121 97 0.0202875260561364
"17" "mb315c" 0.0116549912280702 0.115858130557404 114 0.0108511081236444
"18" "mb438b" -0.0518146 0.257402213783356 110 0.0245423381231426
"19" "mb439b" -0.0552471964285714 0.197333482143457 112 0.0186462613963568
"20" "mz19" -0.142972457627119 0.0984998302909418 118 0.00906764436331335
"21" "mz19chag80" -0.207919113043478 0.140694067412974 115 0.0131197894353485
"22" "mz840" -0.0545514301075269 0.187793646997083 93 0.0194732940513233
"23" "mz840np6510" -0.0566236956521739 0.163142179737797 115 0.0152130867032301
"24" "NorpAChrimson" -0.018311636036036 0.125342941923242 111 0.0118970255537586
"25" "NorpAChrimsonCo" 0.00372008378378378 0.209985926794971 111 0.0199309821412945
"26" "np47" -0.101887208070175 0.1903291658822 114 0.0178259596295447
"27" "np47chag80" -0.141692030701754 0.195722154427732 114 0.0183310592849215
"28" "np1528" -0.0944585417117117 0.140132146780908 111 0.0133007547579061
"29" "np2758" -0.167650877192982 0.231347593019763 114 0.0216676873165886
"30" "np5272" -0.180966469565217 0.174263231258906 115 0.0162501301048424
"31" "np5272mz840" -0.257210517241379 0.241980402188721 87 0.0259430222371619
"32" "np6510" -0.0940333620689655 0.163197094885396 116 0.015152469862128
"33" "np6510np5272" -0.136387401709402 0.129139747043395 117 0.0119389738375746
"34" "or42b" -0.0572071588785047 0.242928998164195 107 0.0234848326772634
"35" "or42bCo" 0.0741101196581197 0.110250472836515 117 0.0101926598193899
"36" "thc1" 0.0261661140350877 0.0868715953102505 114 0.00813627035970475
"37" "thd1" 0.0772543070175439 0.168233051884714 114 0.015756468943431
"38" "thd4" 0.0558759117647059 0.121672307343743 68 0.0147549345556138
"39" "thdprime" -0.075612188034188 0.129374863121496 117 0.0119607103266843
"40" "thf1" 0.0607129826086957 0.212177890786431 115 0.0197856903360635
"41" "thf2" 0.0635103787610619 0.118887241579365 113 0.0111839709138271
"42" "thf3" 0.0739332905982906 0.109561224656154 117 0.0101289388025742
"43" "thg1" 0.0761008214285714 0.194036992004762 112 0.0183347723568439
"44" "thg4chag80" 0.0290545930434783 0.129905886614928 115 0.0121137863887141
"45" "thg4thg80" 0.00847176271186441 0.0931177678087636 118 0.00857218535200973
"46" "trpa1gr28bd" -0.363042991452991 0.237398302209254 117 0.0219474808031682
"47" "trpa1gr28bdCo" 0.056679798245614 0.119461292645205 114 0.0111885751724708
"48" "trpa1Gr28bd_mutants" -0.136411164948454 0.179665015915191 97 0.018242218491816
